PN#,Part Number,Status,RFQ Count,Vendors
20,705-3535-490,sent,2,"AERO COMPONENTS & ELECTRONICS, LLC(NE); Planestocks LLC(NS)"
21,705-3538-230,sent,2,Powerturbine(NS); NEW TECH SOURCING(NS)
22,834-5005-330,sent,3,"SKYBUS LLC(NS); AERO COMPONENTS & ELECTRONICS, LLC(NE); Planestocks LLC(NS)"
23,834-5005-370,sent,10,"Maxcraft Avionics Ltd.(NE); TURBO RESOURCES INT'L(NS); AIRCRAFT INVENTORY MANAGEMENT & SERVICES(NS); SKYBUS LLC(NS); Muirhead Aerospace Limited(NE); LEAT SRL(NE); AERO COMPONENTS & ELECTRONICS, LLC(NE); SKY AIRPARTS TRADING(NE); NEW TECH SOURCING(NS); STE INTERNATIONAL(NS)"
24,843-9100-010,sent,6,AIRCRAFT INVENTORY MANAGEMENT & SERVICES(NS); AVIONIC INDUSTRIES(NE); HIGH TECH AVIONICS & ACCESSORIES(NE); Planestocks LLC(NS); SKY AIRPARTS TRADING(NE); NEW TECH SOURCING(NS)
25,844-0003-010,sent,5,"Ansett Aircraft Spares & Services(NE); AVIONICS SPECIALIST INC(NE); AERO COMPONENTS & ELECTRONICS, LLC(NE); Planestocks LLC(NS); IPO(NE)"
26,849-0025-120,sent,5,"TURBO RESOURCES INT'L(NS); PACIFIC AIR INDUSTRIES(NS); ROEDER PRAZISION GMBH(NS); AERO COMPONENTS & ELECTRONICS, LLC(NE); NEW TECH SOURCING(NS)"
27,913-3279-200,sent,13,"C & L Aerospace(NS); PDQ Airspares Ltd.(NS); AR-Tech Int'l, Inc.(NE); Patria Netherlands Components B.V.(NE); TURBO RESOURCES INT'L(NS); Preferred Airparts, LLC.(NS); MARTIN SERVICES(NS); WORLD CLASS AVIATION, INC(NS); CONTACT AVIATION LLC(NE); LEAT SRL(NE); AVIONICS PLUS(NS); AERO COMPONENTS & ELECTRONICS, LLC(NE); BROWARD AVIATION SERVICE INC(NS)"
28,986-2488-001,sent,2,APS Air Parts Services & Supplies Ltd.(NE); NEW TECH SOURCING(NS)
29,834-5005-380,sent,4,"PACIFIC AIR INDUSTRIES(NS); SKYBUS LLC(NS); AERO COMPONENTS & ELECTRONICS, LLC(NE); NEW TECH SOURCING(NS)"
30,831-8252-002,no_stock,0,
